Date,Code: Graded Index,Peak Current,SS Current,Peak - SS +40,Branch Vector,Branch Number,Cell Letter,SGN Type,Spike Type,Spike type II,Spike Present,Classification,Age,Parent Branch Diameter,CDR w/ Type II,CDR (Type I only),Iext CCstep,CC_step Cp,CC_step Slow Tau,CC_Step A0,Cp - Fitting Area - w/Fast Cp,Fitting Area - pClamp Value,Fast - Cp Area,A1-VC Double Exp,A2-VC Double Exp,t1-VC Double Exp,t2- VC Double Exp,C-VC Double Exp,Cp Soma - VC Double Exp,Cp Compartment - VC Double Exp,Soma Cp Calc,Compartmant Cp Calc,Integral Cvc,R1,R2,A - VC Single Exp,Ao - VC Single Exp,t - VC Single Exp,C - VC Single Exp,VC Integral - Single Exp,Dialed in Cm,CC Cm,CC Cp/ VC_Cp,Rs (calc est),Code: Lat at Thresh,Response Latency (sub),SubThreshold Latency,AHP Time Constant,Code: Cthres,Code: Vthres,Code: Vm,Code: AP Height,Code: Rin,ss-30NC,ssmax_NC,g-30NC,gmax_NC,Vmid - NC,g30/gmax_NC,Escape Current Magnitude,Escape Current Delay,Cp -- CC with 10dV,dV in CC - -10pA,Initial Inject Current,First Hyperpol Step Current,H- Time Constant,H-Na Current,Rs(est),Slopes,g -30,IP,Vmid 2,Gmax,Type II Contact Number,Type II Rows,Outward Inactivation Tau,Graded Slope,Graded Index,H-Cp (pF),H-CThreshold,Voltage Threshold,H-Vrest,H-AP Hight,AP Latency (ms),Double Exp for Inactivation Outward Current,Downstroke Tau,IH Nose Present,Time to -40mV,Sigmodial?,Anode Spike Present,Age Group,Confidence,C-thres Spike Only,Current for -40mV,Vmid,AHP Decay Tau,H-Outward Current,H-Rin,H-Cp,-80: C Threshold,-80: Latency,WC(Rs),Rin (MOhms),dV at +10pA Step,Rin @ +10pA,Calc Cp @ +10 step,Time Constant - CC +10pA,Outward Current Density,R(pipette),Inward Current Density,Pred Formula H-Contact Distance,AHP Delta V,Onset to Trough Time,Trough to SS Time,MATLAB CDRPRed,Predict MP Code,Canon[1],Column 75,Age Bins,g30/gmax, soma + comp cp,A1/A2,t1/t2,Ao/10pA,Relative A2,Latency/g30,dInj Current,Max/Escapse Current Mag,Column 127,Column 128
04/20/2011,0.734863298,,,,,,,,Graded,,No Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,11.87,30,,-45.06836038,20.6787114,0.324605313,565.1855469,3182.983398,9.872236627,23.20805655,-17.61533823,0.425379721,,,,,,,,,,56.21337906,6.091960035,,-22.5133577,24.71384992,,,112.92,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,P1-P5,0.246499839,,,,,,1.89420095,,,P1-P5,
08/02/2011,1.809692423,,,,,10,,,Transient,,Spike,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,15.64,30,-18.82934612,-41.35131928,32.89794995,0.395202646,173.9501953,1469.116211,3.038431359,10.71175304,-12.69545678,0.283653978,,,,,,,,,,11.13464796,1.274485413,,,9.839028195,,,108.9,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P1-P5,0.129533668,,,,,,4.70637586,,,P1-P5,
08/02/2011,2.325439505,,,,,,,,Intermediate,,Spike,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,31.85,30,-35.7055672,-50.29296987,38.90991298,0.641886408,288.6962891,1805.419922,5.04272994,13.16384109,-11.87969681,0.383074355,,,,,,,,,,15.16580028,3.143255854,,-15.98883395,13.08037411,,,151.41,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.240303208,,,,,,2.677121353,,,P1-P5,
08/02/2011,3.094482491,,,,,,,,Intermediate,,Spike,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,18.64,40,-34.33227616,-51.84936639,44.95239358,0.239054367,245.3613281,1453.857422,4.285787391,10.60049678,-29.42363303,0.404300617,,,,,,,,,,11.63338622,2.572772389,,-21.26561636,10.02033633,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.256755093,,,,,,3.523273234,,,P1-P5,
08/02/2011,3.695678794,,,,,,,,Intermediate,,Spike,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,25.07,20,-33.02002027,-50.96435661,46.26464947,0.504557303,256.3476563,1611.938477,4.477688319,11.75311167,-13.67462077,0.380978965,,,,,,,,,,13.85498069,2.403427433,,-14.57794184,11.31739564,,,100.03,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.212365769,,,,,,5.06958019,,,P1-P5,
08/02/2011,3.713989341,,,,,,,,Slow,,Spike,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,16.65,20,-35.00366289,-49.28588977,44.89135843,0.998433453,153.1982422,974.7314453,2.675951829,7.107050107,-14.97466896,0.376520749,,,,,,,,,,6.16455084,1.649225047,,-14.20747804,6.353323117,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,P1-P5,0.259584633,,,,,,8.071894182,,,P1-P5,
08/03/2011,3.649902425,,,,,8,,,Slow,,Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,22.42,20,-31.95190501,-53.86352659,51.05590934,0.95469159,223.3886719,2285.766602,3.901985535,16.66618826,-2.840020364,0.234125853,,,,,,,,,,12.76744516,1.796310624,,-6.959318407,14.94849551,,,240.49,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,P1-P5,0.12016665,,,,,,6.278854645,,,P1-P5,
08/03/2011,0.842285175,,,,,7,,,Graded,,No Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,30,,-47.11914168,23.43750052,0.868733743,211.7919922,1298.828125,3.699423444,9.470133141,-12.64338659,0.390641123,,,,,,,,,,11.74435928,1.877823251,,-14.16065447,8.770886555,,,117.21,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,P1-P5,0.214097314,,,,,,4.135779597,,,P1-P5,
08/03/2011,1.837158244,,,,,,,,Intermediate,,Spike,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,23.93,30,-34.72900468,-52.88696407,40.4663095,0.577799492,368.6523438,2691.040039,6.439342249,19.62115461,-8.081209951,0.328183656,,,,,,,,,,19.9418505,3.603459358,,-7.681212163,19.47953335,,,94.66,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.184986945,,,,,,3.525204768,,,P1-P5,
08/04/2011,1.763916055,,,,,6,,,Intermediate,,Spike,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,,,18.65,30,-28.68652408,-53.80249144,44.28100685,0.641377781,268.5546875,2025.756836,4.690911572,14.77038153,-9.870783551,0.317589059,,,,,,,,,,20.56884778,2.343398001,,-5.586033278,13.25904889,,,92.92,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,P1-P5,0.176739525,,,,,,4.093021091,,,P1-P5,
