"Graded.Index"	"Peak.Current"	"SS.Current"	"Branch.Number"	"SGN.Type"	"Spike.Type"	"MP.Classification"	"Age"	"CDR"	"AP.Latency.threshold"	"AHP.tau"	"Current.Threshold"	"Voltage.Threshold"	"Vm"	"AP.Height"	"Rin"	"ss.30"	"ss.max"	"g.30"	"gmax"	"Vmid"	"g30.gmax"	"Outward.inactivation.tau"	"AP.Latency"
"1"	0.734863298	NA	NA	NA	""	"Graded"	""	3	NA	18.7	11.87	30	NA	-45.06836038	20.6787114	0.324605313	565.1855469	3182.983398	9.872236627	23.20805655	-17.61533823	0.425379721	112.92	NA
"2"	1.809692423	NA	NA	10	""	"Transient"	""	2	NA	14.3	15.64	30	-18.82934612	-41.35131928	32.89794995	0.395202646	173.9501953	1469.116211	3.038431359	10.71175304	-12.69545678	0.283653978	108.9	NA
"3"	2.325439505	NA	NA	NA	""	"Intermediate"	""	2	NA	13.5	31.85	30	-35.7055672	-50.29296987	38.90991298	0.641886408	288.6962891	1805.419922	5.04272994	13.16384109	-11.87969681	0.383074355	151.41	NA
"4"	3.094482491	NA	NA	NA	""	"Intermediate"	""	2	NA	15.1	18.64	40	-34.33227616	-51.84936639	44.95239358	0.239054367	245.3613281	1453.857422	4.285787391	10.60049678	-29.42363303	0.404300617	NA	NA
"5"	3.695678794	NA	NA	NA	""	"Intermediate"	""	2	NA	22.7	25.07	20	-33.02002027	-50.96435661	46.26464947	0.504557303	256.3476563	1611.938477	4.477688319	11.75311167	-13.67462077	0.380978965	100.03	NA
"6"	3.713989341	NA	NA	NA	""	"Slow"	""	2	NA	21.6	16.65	20	-35.00366289	-49.28588977	44.89135843	0.998433453	153.1982422	974.7314453	2.675951829	7.107050107	-14.97466896	0.376520749	NA	NA
"7"	3.649902425	NA	NA	8	""	"Slow"	""	3	NA	24.5	22.42	20	-31.95190501	-53.86352659	51.05590934	0.95469159	223.3886719	2285.766602	3.901985535	16.66618826	-2.840020364	0.234125853	240.49	NA
"8"	0.842285175	NA	NA	7	""	"Graded"	""	3	NA	15.3	NA	30	NA	-47.11914168	23.43750052	0.868733743	211.7919922	1298.828125	3.699423444	9.470133141	-12.64338659	0.390641123	117.21	NA
"9"	1.837158244	NA	NA	NA	""	"Intermediate"	""	3	NA	22.7	23.93	30	-34.72900468	-52.88696407	40.4663095	0.577799492	368.6523438	2691.040039	6.439342249	19.62115461	-8.081209951	0.328183656	94.66	NA
"10"	1.763916055	NA	NA	6	""	"Intermediate"	""	4	NA	19.2	18.65	30	-28.68652408	-53.80249144	44.28100685	0.641377781	268.5546875	2025.756836	4.690911572	14.77038153	-9.870783551	0.317589059	92.92	NA
"11"	2.301025442	NA	NA	5	""	"Intermediate"	""	4	NA	15.6	18.05	30	-35.79711994	-55.17578248	42.57202244	0.434875498	353.3935547	2777.709961	6.172813182	20.25309019	-8.613364259	0.30478377	150.71	NA
"12"	0.424194345	NA	NA	4	""	"Graded"	""	5	NA	18.3	NA	70	-26.58081114	-29.35791081	24.71923883	0.436401377	122.0703125	1563.720703	2.132232533	11.40154187	2.103544169	0.187012648	134.45	NA
"13"	0.454711924	NA	NA	NA	""	"Transient"	""	2	NA	9.4	5.2	110	-35.15625079	-44.89135843	30.42602607	0.22074382	459.5947266	2567.749023	8.027855486	18.72220401	-26.75943431	0.42878795	135.33	NA
"14"	1.980590865	NA	NA	12	""	"Intermediate"	""	3	NA	21.3	31.5	30	-31.49414133	-52.03247187	39.91699308	0.585937513	300.2929688	1882.324219	5.245292031	13.72457265	-13.95640916	0.38218254	68.66	NA
"15"	0.613403334	NA	NA	7	""	"Graded"	""	3	NA	23	NA	50	NA	-46.20361431	30.15136786	0.889078796	130.6152344	950.9277344	2.28148881	6.933490336	-10.29677083	0.329053435	94.28	NA
"16"	2.185058643	NA	NA	6	""	"Transient"	""	3	NA	29.5	24.9	30	-20.62988327	-50.14038198	41.01562592	0.502522798	169.6777344	1228.027344	2.963803221	8.953904079	-11.22399554	0.331006809	83.1	NA
"17"	4.653930768	NA	NA	NA	""	"Transient"	""	5	NA	15.7	17.43	30	-39.48974698	-58.99047983	62.89672992	1.126098658	378.4179688	2473.144531	6.609920852	18.03241517	-8.356259861	0.366557712	312.77	NA
"18"	2.941894597	NA	NA	NA	""	"Transient"	""	9	NA	17.8	15.2	40	-35.46142657	-56.79321416	49.65210072	0.656127944	338.1347656	3277.587891	5.906284116	23.89784538	-4.062403342	0.247147139	143.16	NA
"19"	1.232910184	NA	NA	NA	""	"Transient"	""	9	NA	7.5	7.41	140	-50.78125114	-55.81665164	36.89575278	0.194295252	554.1992188	2633.666992	9.680335699	19.20283106	-47.09437194	0.504109819	NA	NA
"20"	0.668334976	NA	NA	NA	""	"Transient"	""	3	NA	7.7	7.86	120	-46.29516705	-52.45971797	33.44726637	0.194295252	593.8720703	3533.935547	10.37331127	25.76695061	-33.14614536	0.402582029	NA	NA
"21"	1.479492221	NA	NA	9	""	"Transient"	""	6	NA	21.2	14.66	50	-26.74560607	-53.9428723	46.3134776	0.671793635	222.7783203	2468.87207	3.891324372	18.00126342	-1.320315449	0.216169514	124.71	NA
"22"	3.765258873	NA	NA	3	""	"Transient"	""	6	NA	17.7	13.95	40	-41.55883882	-65.92407374	56.93969854	0.395304371	446.7773438	3328.857422	7.80397107	24.27166643	-2.356436158	0.321525969	NA	NA
"23"	1.350097686	NA	NA	5	""	"Slow"	""	6	NA	14.2	9.51	20	-23.72436576	-41.93115328	34.06982498	0.214335128	436.4013672	4741.821289	7.622731305	34.57399642	1.946161393	0.220475852	237.15	NA
